DateTime,fdom,
4/30/2022 1:30,15.34,0.414874915
4/30/2022 1:45,15.41,0.416768087
4/30/2022 2:00,15.45,0.417849899
4/30/2022 2:15,15.44,0.417579446
4/30/2022 2:30,15.475,0.418526031
4/30/2022 2:45,15.38,0.415956728
4/30/2022 3:00,15.39,0.416227181
4/30/2022 3:15,15.42,0.41703854
4/30/2022 3:30,15.45,0.417849899
4/30/2022 3:45,15.42,0.41703854
4/30/2022 4:00,15.43,0.417308993
4/30/2022 4:15,15.315,0.414198783
4/30/2022 4:30,15.45,0.417849899
4/30/2022 4:45,15.44,0.417579446
4/30/2022 5:00,15.445,0.417714672
4/30/2022 5:15,15.41,0.416768087
4/30/2022 5:30,15.43,0.417308993
4/30/2022 5:45,15.5,0.419202164
4/30/2022 6:00,15.49,0.418931711
4/30/2022 6:15,15.63,0.422718053
4/30/2022 6:30,15.535,0.420148749
4/30/2022 6:45,15.73,0.425422583
4/30/2022 7:00,15.805,0.42745098
4/30/2022 7:15,15.81,0.427586207
4/30/2022 7:30,15.36,0.415415822
4/30/2022 7:45,15.55,0.420554429
4/30/2022 8:00,15.8,0.427315754
4/30/2022 8:15,15.83,0.428127113
4/30/2022 8:30,15.83,0.428127113
4/30/2022 8:45,15.815,0.427721433
4/30/2022 9:00,15.73,0.425422583
4/30/2022 9:15,15.64,0.422988506
4/30/2022 9:30,15.45,0.417849899
4/30/2022 9:45,15.525,0.419878296
4/30/2022 10:00,15.48,0.418661258
4/30/2022 10:15,15.1,0.408384043
4/30/2022 10:30,15.335,0.414739689
4/30/2022 10:45,15.265,0.412846518
4/30/2022 11:00,15.225,0.411764706
4/30/2022 11:15,15.17,0.410277214
4/30/2022 11:30,15.065,0.407437458
4/30/2022 11:45,14.98,0.405138607
4/30/2022 12:00,14.91,0.403245436
4/30/2022 12:15,14.74,0.398647735
4/30/2022 12:30,14.765,0.399323867
4/30/2022 12:45,14.76,0.399188641
4/30/2022 13:00,14.61,0.395131846
4/30/2022 13:15,14.45,0.390804598
4/30/2022 13:30,14.785,0.399864773
4/30/2022 13:45,14.705,0.397701149
4/30/2022 14:00,14.69,0.39729547
4/30/2022 14:15,14.61,0.395131846
4/30/2022 14:30,14.5,0.392156863
4/30/2022 14:45,14.19,0.383772819
4/30/2022 15:00,13.67,0.369709263
4/30/2022 15:15,13.61,0.368086545
4/30/2022 15:30,13.77,0.372413793
4/30/2022 15:45,13.47,0.364300203
4/30/2022 16:00,14.34,0.387829615
4/30/2022 16:15,14.4,0.389452333
4/30/2022 16:30,13.675,0.36984449
4/30/2022 16:45,14.14,0.382420554
4/30/2022 17:00,13.595,0.367680865
4/30/2022 17:15,14.32,0.387288709
4/30/2022 17:30,13.65,0.369168357
4/30/2022 17:45,14.41,0.389722786
4/30/2022 18:00,13.87,0.375118323
4/30/2022 18:15,14.39,0.38918188
4/30/2022 18:30,14.785,0.399864773
4/30/2022 18:45,14.93,0.403786342
4/30/2022 19:00,14.98,0.405138607
4/30/2022 19:15,15.03,0.406490872
4/30/2022 19:30,15,0.405679513
4/30/2022 19:45,14.98,0.405138607
4/30/2022 20:00,14.89,0.40270453
4/30/2022 20:15,14.74,0.398647735
4/30/2022 20:30,14.7,0.397565923
4/30/2022 20:45,14.655,0.396348884
4/30/2022 21:00,14.68,0.397025017
4/30/2022 21:15,14.59,0.39459094
4/30/2022 21:30,14.69,0.39729547
4/30/2022 21:45,14.705,0.397701149
